epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
268,45915.3,0.49843,0.76629,0.30698,0.88766,0.93714,0.90897,0.95633,0.85128,0.9356,0.91159,0.95582,0.82985,0.52097,0.83609,0.32524,0.85874,0.001189,0.001189,0.001189
269,46064,0.49912,0.76939,0.30666,0.8881,0.93704,0.90906,0.95628,0.8513,0.93556,0.91164,0.95585,0.82984,0.52105,0.83615,0.32544,0.8587,0.001156,0.001156,0.001156
270,46212,0.4973,0.76909,0.30765,0.88839,0.9371,0.90907,0.95634,0.85137,0.93614,0.91099,0.95572,0.82973,0.52099,0.83576,0.32563,0.85857,0.001123,0.001123,0.001123
271,46360.5,0.49878,0.76976,0.30811,0.88932,0.9372,0.90917,0.9563,0.85139,0.93666,0.91094,0.9558,0.8297,0.52094,0.83588,0.3256,0.85857,0.00109,0.00109,0.00109
272,46507.8,0.4947,0.75738,0.30463,0.887,0.93682,0.90946,0.9563,0.85131,0.93661,0.91094,0.9557,0.8297,0.52094,0.836,0.32571,0.85858,0.001057,0.001057,0.001057
273,46654.9,0.4969,0.76508,0.30671,0.88803,0.93682,0.90951,0.95628,0.85136,0.93678,0.91082,0.95569,0.82978,0.52089,0.83619,0.32577,0.85862,0.001024,0.001024,0.001024
274,46802.3,0.49777,0.76515,0.30511,0.88682,0.93611,0.91013,0.9564,0.85146,0.93654,0.91129,0.95573,0.82966,0.52096,0.83605,0.32577,0.85867,0.000991,0.000991,0.000991
275,46950.1,0.49565,0.76081,0.30443,0.88645,0.93704,0.90897,0.95632,0.85148,0.93644,0.91134,0.9558,0.8296,0.521,0.8365,0.32577,0.85868,0.000958,0.000958,0.000958
276,47097.2,0.49841,0.76844,0.30606,0.88787,0.93623,0.90977,0.95634,0.85145,0.93658,0.91124,0.95582,0.82963,0.52098,0.83683,0.32593,0.85866,0.000925,0.000925,0.000925
277,47245.8,0.49844,0.76581,0.30578,0.88734,0.93786,0.90856,0.95629,0.85143,0.93676,0.91109,0.95591,0.82954,0.5209,0.83661,0.32592,0.85859,0.000892,0.000892,0.000892
278,47393.2,0.49922,0.76516,0.30633,0.88805,0.93782,0.90842,0.95621,0.85138,0.93699,0.91094,0.95576,0.82946,0.52089,0.83689,0.32591,0.85856,0.000859,0.000859,0.000859
279,47541.2,0.49327,0.75931,0.30302,0.88535,0.93654,0.90985,0.95624,0.85136,0.93727,0.91079,0.95577,0.82953,0.52098,0.83725,0.32606,0.85858,0.000826,0.000826,0.000826
280,47689.9,0.49655,0.76307,0.30448,0.88656,0.93696,0.90912,0.95623,0.85149,0.93666,0.91099,0.95579,0.82941,0.5209,0.83716,0.32616,0.8585,0.000793,0.000793,0.000793
281,47837.8,0.49273,0.75811,0.30277,0.88558,0.93659,0.90932,0.95613,0.85146,0.93641,0.91108,0.95561,0.82938,0.52091,0.83715,0.32609,0.85858,0.00076,0.00076,0.00076
282,47986.4,0.49611,0.76307,0.30436,0.88633,0.93689,0.90957,0.95624,0.85122,0.93716,0.91078,0.9558,0.82943,0.52101,0.83751,0.32625,0.85859,0.000727,0.000727,0.000727
283,48134.8,0.49456,0.75858,0.30293,0.88481,0.93643,0.90955,0.95624,0.85129,0.93664,0.91088,0.9556,0.82938,0.52088,0.83768,0.32631,0.85856,0.000694,0.000694,0.000694
284,48282,0.49493,0.76167,0.30188,0.88478,0.9367,0.90962,0.95624,0.85144,0.93703,0.91074,0.95572,0.82941,0.52089,0.83777,0.32637,0.85848,0.000661,0.000661,0.000661
285,48429.8,0.49051,0.75153,0.30137,0.88547,0.93671,0.90926,0.95624,0.85135,0.93697,0.91083,0.95565,0.82943,0.52092,0.83781,0.32633,0.85851,0.000628,0.000628,0.000628
286,48577.2,0.49398,0.7611,0.30121,0.88547,0.93711,0.90932,0.95624,0.85123,0.93712,0.91064,0.95568,0.82935,0.52098,0.83787,0.32629,0.85855,0.000595,0.000595,0.000595
287,48725.6,0.4928,0.75917,0.30162,0.88552,0.93668,0.90932,0.95629,0.85129,0.93712,0.91059,0.95568,0.82939,0.52092,0.83798,0.32633,0.85853,0.000562,0.000562,0.000562
288,48872.6,0.49121,0.75368,0.30051,0.88602,0.93678,0.90965,0.95632,0.85132,0.93728,0.91047,0.95561,0.82933,0.52096,0.83782,0.3264,0.85853,0.000529,0.000529,0.000529
289,49019.8,0.49013,0.75385,0.29911,0.88422,0.93668,0.9097,0.95639,0.85122,0.93723,0.91048,0.9557,0.82938,0.52087,0.83842,0.32652,0.85845,0.000496,0.000496,0.000496
290,49166.7,0.4911,0.75296,0.29955,0.88458,0.93653,0.90993,0.95641,0.85149,0.93679,0.91069,0.95559,0.82949,0.52095,0.83854,0.32645,0.85852,0.000463,0.000463,0.000463
291,49302.3,0.45672,0.71238,0.26145,0.85186,0.93628,0.91025,0.95634,0.8514,0.93655,0.91098,0.95548,0.82936,0.52093,0.83882,0.32647,0.85853,0.00043,0.00043,0.00043
292,49437.3,0.4507,0.70269,0.25685,0.84882,0.93553,0.91055,0.95633,0.85138,0.93605,0.91124,0.95542,0.82939,0.52088,0.83939,0.32643,0.85853,0.000397,0.000397,0.000397
293,49572.9,0.4494,0.69762,0.25442,0.84724,0.93582,0.91073,0.95641,0.85143,0.93588,0.91169,0.9555,0.82943,0.52084,0.83956,0.32648,0.85846,0.000364,0.000364,0.000364
294,49707.9,0.45122,0.6975,0.25465,0.8488,0.93563,0.91064,0.9564,0.85132,0.93606,0.91134,0.95545,0.82937,0.52091,0.84007,0.32649,0.85856,0.000331,0.000331,0.000331
295,49842.7,0.4478,0.69458,0.25236,0.84802,0.93586,0.91045,0.95639,0.85139,0.9363,0.91139,0.95547,0.82944,0.52092,0.83993,0.32661,0.85863,0.000298,0.000298,0.000298
296,49977.7,0.44919,0.69467,0.25236,0.84767,0.93592,0.91064,0.95648,0.85152,0.93603,0.91169,0.95548,0.82956,0.52095,0.84016,0.32681,0.85868,0.000265,0.000265,0.000265
297,50112.3,0.44897,0.69456,0.25231,0.84892,0.93603,0.91028,0.95645,0.85161,0.93638,0.91133,0.95552,0.82951,0.52092,0.84049,0.3268,0.85865,0.000232,0.000232,0.000232
298,50246.6,0.44664,0.69293,0.2519,0.84698,0.936,0.91058,0.9564,0.85142,0.93606,0.91149,0.95549,0.82949,0.52085,0.84098,0.32694,0.85864,0.000199,0.000199,0.000199
299,50380.7,0.44603,0.68878,0.2505,0.84735,0.93602,0.91,0.95635,0.85125,0.93608,0.91089,0.95534,0.82947,0.52083,0.84157,0.32723,0.85868,0.000166,0.000166,0.000166
300,50514.6,0.44577,0.68928,0.25051,0.8461,0.93622,0.91,0.9565,0.8512,0.93676,0.91058,0.95529,0.82946,0.52084,0.84166,0.3273,0.85872,0.000133,0.000133,0.000133
