epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,19020.6,0.55573,0.88366,0.37744,0.91736,0.93468,0.90708,0.95594,0.84533,0.93715,0.90733,0.95472,0.82334,0.52542,0.84177,0.33392,0.86446,0.006997,0.006997,0.006997
93,19184.1,0.55115,0.87485,0.37516,0.91553,0.93462,0.90848,0.95621,0.84589,0.93783,0.90688,0.95492,0.82395,0.52429,0.84043,0.33327,0.86443,0.006964,0.006964,0.006964
94,19346.5,0.55202,0.87175,0.37379,0.91647,0.93356,0.9099,0.95623,0.84561,0.9362,0.90906,0.95531,0.82441,0.52474,0.84113,0.33223,0.86446,0.006931,0.006931,0.006931
95,19508.2,0.55563,0.88418,0.37609,0.91723,0.93559,0.90732,0.95622,0.84574,0.93517,0.90876,0.95523,0.8239,0.52439,0.84039,0.33264,0.86424,0.006898,0.006898,0.006898
96,19668.8,0.54959,0.8727,0.3721,0.91424,0.93765,0.90586,0.95559,0.84596,0.93812,0.90711,0.95512,0.82397,0.52362,0.84015,0.33254,0.86334,0.006865,0.006865,0.006865
97,19829.5,0.5519,0.87692,0.37141,0.9161,0.93658,0.90752,0.9561,0.84584,0.93805,0.90744,0.95508,0.8242,0.52447,0.84189,0.33216,0.86494,0.006832,0.006832,0.006832
98,19990,0.55219,0.87779,0.37523,0.91678,0.93576,0.90742,0.95629,0.84612,0.93796,0.90708,0.95544,0.82473,0.52481,0.84161,0.33153,0.86493,0.006799,0.006799,0.006799
99,20149.3,0.55028,0.87313,0.37253,0.91493,0.9335,0.90891,0.95629,0.84592,0.93583,0.9094,0.95544,0.82486,0.52457,0.84329,0.33155,0.86516,0.006766,0.006766,0.006766
100,20309.6,0.55265,0.88115,0.3761,0.91586,0.9352,0.90842,0.95621,0.84578,0.93665,0.9089,0.95534,0.8245,0.52429,0.84306,0.33138,0.86442,0.006733,0.006733,0.006733
101,20468.3,0.54918,0.87411,0.37227,0.91503,0.93509,0.90766,0.95591,0.8457,0.93727,0.9081,0.95535,0.82468,0.52342,0.8449,0.33136,0.86421,0.0067,0.0067,0.0067
102,20627.2,0.55119,0.87163,0.37245,0.91439,0.93556,0.90825,0.95646,0.84647,0.93624,0.9098,0.95555,0.82485,0.52407,0.84376,0.33122,0.8645,0.006667,0.006667,0.006667
103,20786,0.54913,0.87082,0.37035,0.91316,0.93572,0.90771,0.95636,0.84647,0.93678,0.90837,0.9554,0.82498,0.52391,0.84389,0.33127,0.86365,0.006634,0.006634,0.006634
104,20945.8,0.5543,0.87954,0.37401,0.91465,0.93561,0.90886,0.95619,0.84637,0.93645,0.90944,0.95532,0.8247,0.5247,0.84397,0.33087,0.8639,0.006601,0.006601,0.006601
105,21104.7,0.54716,0.86572,0.37019,0.91361,0.93673,0.90865,0.95589,0.84692,0.93745,0.91014,0.95521,0.82471,0.52442,0.84227,0.33022,0.86387,0.006568,0.006568,0.006568
106,21263,0.55075,0.87126,0.36957,0.91391,0.93672,0.9084,0.95614,0.84725,0.9383,0.90955,0.95523,0.82495,0.52444,0.84272,0.33003,0.86401,0.006535,0.006535,0.006535
107,21420.3,0.54919,0.87078,0.37066,0.91463,0.93654,0.90929,0.95638,0.84712,0.93892,0.90917,0.95563,0.82489,0.5245,0.8415,0.33011,0.86428,0.006502,0.006502,0.006502
108,21578.2,0.54829,0.86384,0.36988,0.91279,0.93787,0.90787,0.95631,0.84743,0.93925,0.90921,0.9556,0.82534,0.52495,0.84068,0.32991,0.86434,0.006469,0.006469,0.006469
109,21736,0.5458,0.86909,0.36983,0.91364,0.93726,0.90865,0.95669,0.84764,0.9389,0.90911,0.95582,0.82592,0.52481,0.83994,0.32976,0.86412,0.006436,0.006436,0.006436
110,21894.6,0.54635,0.86995,0.36861,0.9127,0.93529,0.9105,0.95675,0.84772,0.93759,0.90965,0.95588,0.82594,0.52425,0.83945,0.32948,0.86379,0.006403,0.006403,0.006403
111,22052.8,0.54558,0.86186,0.36626,0.91153,0.93553,0.9097,0.95695,0.84823,0.93706,0.9105,0.95594,0.82623,0.52377,0.83858,0.32906,0.86347,0.00637,0.00637,0.00637
112,22211,0.54687,0.86858,0.36773,0.91297,0.9344,0.91083,0.95715,0.84823,0.9364,0.91139,0.95595,0.82644,0.52404,0.83712,0.32907,0.86376,0.006337,0.006337,0.006337
113,22369,0.54717,0.86807,0.36766,0.9133,0.93455,0.91015,0.95706,0.84822,0.93648,0.91058,0.95582,0.82639,0.52399,0.83756,0.32872,0.86375,0.006304,0.006304,0.006304
114,22526.9,0.54701,0.86788,0.36698,0.91264,0.93397,0.91064,0.95706,0.84813,0.93524,0.91114,0.95594,0.82635,0.52365,0.8375,0.32878,0.86384,0.006271,0.006271,0.006271
115,22684.3,0.54846,0.868,0.36474,0.91299,0.93168,0.91321,0.95716,0.84832,0.93513,0.91252,0.9562,0.82633,0.52332,0.83769,0.32865,0.86371,0.006238,0.006238,0.006238
116,22842.1,0.5463,0.8659,0.36516,0.91186,0.93156,0.91332,0.95715,0.84813,0.93524,0.91198,0.95625,0.82646,0.5233,0.83756,0.32844,0.8635,0.006205,0.006205,0.006205
117,22999.4,0.54367,0.86381,0.36529,0.91187,0.9319,0.9124,0.95697,0.84843,0.93527,0.91079,0.95614,0.82691,0.52296,0.83806,0.32808,0.86331,0.006172,0.006172,0.006172
118,23156.5,0.54418,0.85903,0.36369,0.9117,0.9349,0.90979,0.95687,0.84827,0.93587,0.91073,0.95599,0.82687,0.52272,0.83749,0.32802,0.86308,0.006139,0.006139,0.006139
119,23313.3,0.54346,0.85889,0.36326,0.91065,0.93404,0.9102,0.95706,0.84851,0.93474,0.91144,0.95627,0.82697,0.52278,0.83861,0.32791,0.86306,0.006106,0.006106,0.006106
120,23470,0.54698,0.86492,0.36553,0.91256,0.93466,0.9102,0.95714,0.84843,0.93557,0.91109,0.95645,0.82676,0.52249,0.8378,0.32795,0.86278,0.006073,0.006073,0.006073
121,23626.3,0.54154,0.85334,0.36163,0.90964,0.93337,0.91099,0.957,0.84851,0.93434,0.91193,0.95631,0.82721,0.52228,0.83795,0.32852,0.86258,0.00604,0.00604,0.00604
122,23782.6,0.54399,0.85903,0.36199,0.91126,0.93432,0.91028,0.95688,0.84844,0.93452,0.91192,0.95616,0.8271,0.5219,0.83716,0.32832,0.86235,0.006007,0.006007,0.006007
123,23938.7,0.54415,0.85799,0.36233,0.91003,0.935,0.90918,0.95674,0.84844,0.93592,0.91045,0.95616,0.82718,0.52161,0.83717,0.32808,0.86186,0.005974,0.005974,0.005974
124,24095,0.5442,0.86237,0.36369,0.91202,0.9347,0.90887,0.95694,0.84883,0.93575,0.91041,0.95625,0.82752,0.52155,0.83655,0.32782,0.86199,0.005941,0.005941,0.005941
125,24250.5,0.54485,0.85792,0.36281,0.91312,0.93445,0.90883,0.95691,0.84878,0.93445,0.91083,0.95629,0.82719,0.5217,0.83681,0.32754,0.86228,0.005908,0.005908,0.005908
126,24406.3,0.54416,0.8591,0.36452,0.91197,0.93518,0.90847,0.95681,0.84898,0.9356,0.91032,0.95622,0.82735,0.52193,0.83694,0.32745,0.86232,0.005875,0.005875,0.005875
127,24562.2,0.5438,0.85938,0.36067,0.91031,0.936,0.90777,0.95674,0.84886,0.93655,0.9096,0.95601,0.82741,0.52195,0.83654,0.32724,0.86222,0.005842,0.005842,0.005842
128,24718.2,0.54211,0.8579,0.35879,0.90967,0.93614,0.90762,0.95663,0.84889,0.93626,0.9096,0.95607,0.82741,0.52157,0.83712,0.32711,0.86211,0.005809,0.005809,0.005809
129,24874,0.54171,0.85654,0.36127,0.90916,0.93662,0.90762,0.95666,0.84881,0.93579,0.91059,0.9558,0.82758,0.52163,0.83725,0.32678,0.86203,0.005776,0.005776,0.005776
130,25029.7,0.54041,0.84891,0.35876,0.90768,0.93586,0.90856,0.95692,0.84898,0.93604,0.91064,0.95607,0.82752,0.52135,0.83693,0.32674,0.86151,0.005743,0.005743,0.005743
131,25185.5,0.54126,0.84887,0.35914,0.90949,0.93619,0.90772,0.95706,0.8489,0.93632,0.91055,0.95626,0.82737,0.52122,0.83631,0.32634,0.8613,0.00571,0.00571,0.00571
132,25340.8,0.54058,0.8471,0.35981,0.90835,0.93564,0.90807,0.95693,0.84899,0.9348,0.91106,0.95595,0.82749,0.52108,0.83648,0.32629,0.86111,0.005677,0.005677,0.005677
